Chemical compound	Metabolic activity	Microbial species or host cell-type	Reference # (Supplementary Data 2a)
NH3 (Ammonia, NH4+, Ammonium)	Production (export)	Wolinella succinogenes	[59]
NH3 (Ammonia, NH4+, Ammonium)	Consumption (import)	Xylella fastidiosa	[368]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Production (export)	Baumannia cicadellinicola	[368]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Brucella abortus	[242]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Brucella melitensis	[242]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Brucella suis	[242]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Clostridium tetani	[242]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Colonocyte (host colon)	[336]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Corynebacterium diphtheriae	[242]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Deinococcus radiodurans	[125]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import) & production (export)	Escherichia coli	[39,242]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Klebsiella pneumoniae	[242]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Lactobacillus casei	[242]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Leuconostoc mesenteroides	[242]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Neisseria gonorrhoeae	[242]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Paenibacillus larvae	[242]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Shigella dysenteriae	[242]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Shigella sonnei	[242]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Staphylococcus aureus	[242]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Streptococcus bovis (Streptococcus equinus)	[242]
Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)	Consumption (import)	Streptococcus salivarius	[242]
Nitrate	Consumption (import)	Achromobacter piechaudii	[151]
Nitrate	Consumption (import)	Acidovorax avenae	[360]
Nitrate	Consumption (import)	Acidovorax delafieldii	[360]
Nitrate	Consumption (import)	Agrobacterium tumefaciens (Rhizobium radiobacter)	[413]
Nitrate	Consumption (import)	Alicycliphilus denitrificans	[405]
Nitrate	Consumption (import)	Bacillus amyloliquefaciens	[339]
Nitrate	Consumption (import)	Bacillus anthracis	[339]
Nitrate	Consumption (import)	Bacillus atrophaeus	[339]
Nitrate	Consumption (import)	Bacillus cellulosilyticus	[339]
Nitrate	Consumption (import)	Bacillus cereus	[339]
Nitrate	Consumption (import)	Bacillus clausii	[339]
Nitrate	Consumption (import)	Bacillus coagulans	[339]
Nitrate	Consumption (import)	Bacillus coahuilensis	[339]
Nitrate	Consumption (import)	Bacillus halodurans	[339]
Nitrate	Consumption (import)	Bacillus licheniformis	[339]
Nitrate	Consumption (import)	Bacillus megaterium	[339]
Nitrate	Consumption (import)	Bacillus mycoides	[339]
Nitrate	Consumption (import)	Bacillus pseudofirmus	[339]
Nitrate	Consumption (import)	Bacillus pseudomycoides	[339]
Nitrate	Consumption (import)	Bacillus pumilus	[339]
Nitrate	Consumption (import)	Bacillus selenitireducens	[339]
Nitrate	Consumption (import)	Bacillus subtilis	[329,339]
Nitrate	Consumption (import)	Bacillus thuringiensis	[339]
Nitrate	Consumption (import)	Bacillus weihenstephanensis	[339]
Nitrate	Consumption (import)	Bilophila wadsworthia	[169]
Nitrate	Consumption (import)	Bradyrhizobium japonicum	[412]
Nitrate	Consumption (import)	Calditerrivibrio nitroreducens	[404]
Nitrate	Consumption (import)	Caminibacter mediatlanticus	[349]
Nitrate	Consumption (import)	Chromobacterium violaceum	[403]
Nitrate	Consumption (import)	Corynebacterium glutamicum	[329]
Nitrate	Consumption (import)	Denitrovibrio acetiphilus	[408]
Nitrate	Consumption (import)	Escherichia coli	[142,329]
Nitrate	Consumption (import)	Geobacillus thermodenitrificans	[411]
Nitrate	Consumption (import)	Geobacter metallireducens	[59,186]
Nitrate	Consumption (import)	Geobacter sulfurreducens	[59]
Nitrate	Consumption (import)	Hyphomicrobium denitrificans	[423,Supplementary Data 2d]
Nitrate	Consumption (import)	Jonesia denitrificans	[Supplementary Data 2d]
Nitrate	Consumption (import)	Kingella denitrificans	[409]
Nitrate	Consumption (import)	Klebsiella pneumoniae	[133]
Nitrate	Consumption (import)	Methylotenera mobilis	[51,51]
Nitrate	Consumption (import)	Moorella thermoacetica	[81]
Nitrate	Consumption (import)	Moraxella catarrhalis	[414,Supplementary Data 2d]
Nitrate	Consumption (import)	Mycobacterium tuberculosis	[329]
Nitrate	Consumption (import)	Neisseria flavescens	[416]
Nitrate	Consumption (import)	Neisseria mucosa	[416]
Nitrate	Production (export)	Nitrobacter hamburgensis	[Supplementary Data 2d]
Nitrate	Production (export)	Nitrobacter winogradskyi	[Supplementary Data 2d]
Nitrate	Production (export)	Nitrococcus mobilis	[Supplementary Data 2d]
Nitrate	Consumption (import)	Paracoccus denitrificans	[403,Supplementary Data 2d]
Nitrate	Consumption (import)	Pseudomonas aeruginosa	[402,Supplementary Data 2d,339]
Nitrate	Consumption (import)	Pseudomonas entomophila	[339]
Nitrate	Consumption (import)	Pseudomonas fluorescens	[417,339]
Nitrate	Consumption (import)	Pseudomonas mendocina	[133,Supplementary Data 2d,339]
Nitrate	Consumption (import)	Pseudomonas putida	[415,Supplementary Data 2d,339]
Nitrate	Consumption (import)	Pseudomonas savastanoi	[339]
Nitrate	Consumption (import)	Pseudomonas stutzeri	[410,Supplementary Data 2d,339]
Nitrate	Consumption (import)	Pseudomonas syringae	[418,339]
Nitrate	Consumption (import)	Pyrobaculum aerophilum	[419]
Nitrate	Consumption (import)	Pyrobaculum calidifontis	[420]
Nitrate	Consumption (import)	Ralstonia pickettii	[133]
Nitrate	Consumption (import)	Roseobacter denitrificans	[421]
Nitrate	Consumption (import)	Shewanella denitrificans	[422]
Nitrate	Consumption (import)	Sulfurimonas denitrificans	[406]
Nitrate	Consumption (import)	Thiobacillus denitrificans	[407]
Nitrate	Consumption (import)	Wolinella succinogenes	[59,318]
Nitric Oxide (NO)	Consumption (import)	Colonocyte (host colon)	[336]
Nitric Oxide (NO)	Production (export)	Nitrosococcus halophilus	[Supplementary Data 2d]
Nitric Oxide (NO)	Production (export)	Nitrosococcus oceani	[Supplementary Data 2d]
Nitric Oxide (NO)	Production (export)	Nitrosococcus watsoni	[Supplementary Data 2d]
Nitric Oxide (NO)	Production (export)	Nitrosomonas europaea	[Supplementary Data 2d]
Nitric Oxide (NO)	Production (export)	Nitrosomonas eutropha	[Supplementary Data 2d]
Nitric Oxide (NO)	Production (export)	Nitrosopumilus maritimus	[Supplementary Data 2d]
Nitric Oxide (NO)	Production (export)	Nitrosospira multiformis	[Supplementary Data 2d]
Nitrite	Consumption (import)	Nitrobacter hamburgensis	[Supplementary Data 2d]
Nitrite	Consumption (import)	Nitrobacter winogradskyi	[Supplementary Data 2d]
Nitrite	Consumption (import)	Nitrococcus mobilis	[Supplementary Data 2d]
Octanoate (Caprylic acid)	Consumption (import)	Colonocyte (host colon)	[336]
Oleic acid ([9Z]-Octadecenoic acid)	Consumption (import)	Clostridium tetani	[242]
Oleic acid ([9Z]-Octadecenoic acid)	Consumption (import)	Colonocyte (host colon)	[336]
Oleic acid ([9Z]-Octadecenoic acid)	Consumption (import)	Corynebacterium diphtheriae	[242]
Oleic acid ([9Z]-Octadecenoic acid)	Consumption (import)	Erysipelothrix rhusiopathiae	[242]
Orotic acid (Orotate)	Consumption (import)	Colonocyte (host colon)	[336]
Orotic acid (Orotate)	Consumption (import)	Lactobacillus casei	[242]
Oxalate	Consumption (import)	Moorella thermoacetica	[81,275]
Oxalate	Consumption (import)	Oxalobacter formigenes	[27,29,164]
Oxaloacetate	Consumption (import)	Veillonella parvula	[229]
p-Cresol (4-methylphenol, 4-cresol)	Production (export)	Clostridium difficile	[127]
p-Cresol (4-methylphenol, 4-cresol)	Consumption (import)	Colonocyte (host colon)	[132]
p-Cresol (4-methylphenol, 4-cresol)	Consumption (import)	Geobacter metallireducens	[117,186]
Palmitate (Palmitic acid, Hexadecanoic acid, Hexadecanoate)	Consumption (import)	Colonocyte (host colon)	[336]
Palmitate (Palmitic acid, Hexadecanoic acid, Hexadecanoate)	Consumption (import)	Syntrophomonas wolfei	[314,321]
Pantothenic acid (Vitamin B5, Pantothenate)	Production (export)	Baumannia cicadellinicola	[368]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Brucella abortus	[242]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Brucella melitensis	[242]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Brucella suis	[242]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium acetobutylicum	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium asparagiforme	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium bartlettii	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium beijerinckii	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium bolteae	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium botulinum	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium butyricum	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium carboxidivorans	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium cellulolyticum	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium cellulovorans	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium cf	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium difficile	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium hathewayi	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium hiranonis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium hylemonae	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium kluyveri	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium leptum	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium ljungdahlii	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium methylpentosum	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium nexile	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium novyi	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium papyrosolvens	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium perfringens	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium phytofermentans	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium saccharolyticum	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium scindens	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium sporogenes	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium sticklandii	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium symbiosum	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium tetani	[242,260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Clostridium thermocellum	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Colonocyte (host colon)	[336]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Corynebacterium diphtheriae	[242]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus acidophilus	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus amylolyticus	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus amylovorus	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus antri	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus brevis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus buchneri	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus casei	[242,260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus coleohominis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus crispatus	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus delbrueckii	[242,260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus fermentum	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus gasseri	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus helveticus	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus hilgardii	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus iners	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus jensenii	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus johnsonii	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus oris	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus paracasei	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus plantarum	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus reuteri	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus rhamnosus	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus ruminis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus sakei	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus salivarius	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus ultunensis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactobacillus vaginalis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Lactococcus lactis	[242]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Leuconostoc mesenteroides	[242]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma agalactiae	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma alligatoris	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma arthritidis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma bovis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma capricolum	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma conjunctivae	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma crocodyli	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma fermentans	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma gallisepticum	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma genitalium	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma haemofelis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma hominis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma hyopneumoniae	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma hyorhinis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma leachii	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma mobile	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma mycoides	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma penetrans	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma pneumoniae	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma pulmonis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Mycoplasma synoviae	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Neisseria gonorrhoeae	[242]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Paenibacillus larvae	[242]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Ruminococcus bromii	[121]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus agalactiae	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus anginosus	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus australis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus bovis (Streptococcus equinus)	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus cristatus	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus downei	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus dysgalactiae	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus equi	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus gallolyticus	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus gordonii	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus infantarius	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus infantis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus mitis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus mutans	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus oralis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus parasanguinis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus peroris	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus pneumoniae	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus pseudoporcinus	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus pyogenes	[242,260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus salivarius	[242,260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus sanguinis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus suis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus thermophilus	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus uberis	[260]
Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	Streptococcus vestibularis	[260]
Pectin	Macromolecule degradation	Acetobacter pasteurianus	[134]
Pectin	Macromolecule degradation	Actinomyces coleocanis	[34]
Pectin	Macromolecule degradation	Actinomyces odontolyticus	[34]
Pectin	Macromolecule degradation	Actinomyces oris	[34]
Pectin	Macromolecule degradation	Actinomyces urogenitalis	[34]
Pectin	Macromolecule degradation	Actinomyces viscosus	[34]
Pectin	Macromolecule degradation	Actinosynnema mirum	[34]
Pectin	Macromolecule degradation	Bacteroides caccae	[210]
Pectin	Macromolecule degradation	Bacteroides fragilis	[279]
Pectin	Macromolecule degradation	Bacteroides ovatus	[204,210,279]
Pectin	Macromolecule degradation	Bacteroides thetaiotaomicron	[118,204,210,256,279,312]
Pectin	Macromolecule degradation	Bacteroides vulgatus	[210,279]
Pectin	Macromolecule degradation	Bifidobacterium bifidum	[62]
Pectin	Macromolecule degradation	Bifidobacterium breve	[62]
Pectin	Macromolecule degradation	Bifidobacterium catenulatum	[62]
Pectin	Macromolecule degradation	Butyrivibrio fibrisolvens	[71,217]
Pectin	Macromolecule degradation	Butyrivibrio proteoclasticus	[152,217]
Pectin	Macromolecule degradation	Clostridium cellulolyticum	[278]
Pectin	Macromolecule degradation	Collinsella aerofaciens (Eubacterium aerofaciens)	[210]
Pectin	Macromolecule degradation	Eubacterium eligens	[95,280]
Pectin	Macromolecule degradation	Faecalibacterium prausnitzii	[95]
Pectin	Macromolecule degradation	Fibrobacter succinogenes (Bacteroides succinogenes)	[198,326]
Pectin	Macromolecule degradation	Prevotella ruminicola (Bacteroides ruminicola)	[71,95]
Pectin	Macromolecule degradation	Ruminococcus flavefaciens	[71]
Pectin	Macromolecule degradation	Streptomyces viridochromogenes	[34]
Pelargonic acid (Pelargonate, Nonanoic acid)	Consumption (import)	Syntrophomonas wolfei	[314]
Pentanol	Production (export)	Escherichia coli	[33]
Pentanol	Consumption (import)	Pelotomaculum thermopropionicum	[135]
Phenol	Consumption (import)	Colonocyte (host colon)	[132]
Phenol	Consumption (import)	Desulfovibrio aespoeensis	[106]
Phenol	Consumption (import)	Desulfovibrio desulfuricans	[106]
Phenol	Consumption (import)	Desulfovibrio fructosovorans	[106]
Phenol	Consumption (import)	Desulfovibrio magneticus	[106]
Phenol	Consumption (import)	Desulfovibrio piger	[106]
Phenol	Consumption (import)	Desulfovibrio salexigens	[106]
Phenol	Consumption (import)	Desulfovibrio vulgaris	[106]
Phenol	Consumption (import)	Geobacter metallireducens	[117,186,290]
Phenylacetate	Production (export)	Bacteroides thetaiotaomicron	[118]
Phenylacetate	Production (export)	Clostridium botulinum	[86]
Phenylacetate	Production (export)	Clostridium sticklandii	[86]
Phenylacetate	Consumption (import)	Colonocyte (host colon)	[132]
Phenylacetate	Consumption (import)	Geobacter metallireducens	[117]
Phenylacetate	Consumption (import)	Methylobacterium nodulans	[427]
Phenylacetate	Production (export)	Pyramidobacter piscolens	[79]
Phenylethylamine	Production (export)	Bacteroides ovatus	[308]
Phenylethylamine	Production (export)	Bacteroides thetaiotaomicron	[308]
Phenylethylamine	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[308]
Phylloquinone (Vitamin K1)	Consumption (import)	Colonocyte (host colon)	[336]
Pimelate	Consumption (import)	Acidovorax avenae	[360]
Pimelate	Consumption (import)	Acidovorax delafieldii	[360]
Pimelate	Consumption (import)	Corynebacterium diphtheriae	[242]
Pimelate	Consumption (import)	Rhodospirillum rubrum	[242]
Polypeptide	Macromolecule degradation	Bacteroides fragilis	[29,192,195]
Polypeptide	Macromolecule degradation	Bacteroides thetaiotaomicron	[195]
Polypeptide	Macromolecule degradation	Bacteroides vulgatus	[29,195]
Polypeptide	Macromolecule degradation	Butyrivibrio fibrisolvens	[61,88,217,351,352,353]
Polypeptide	Macromolecule degradation	Butyrivibrio proteoclasticus	[217]
Polypeptide	Macromolecule degradation	Clostridium botulinum	[86,211]
Polypeptide	Macromolecule degradation	Clostridium perfringens	[191]
Polypeptide	Macromolecule degradation	Clostridium sporogenes	[191]
Polypeptide	Macromolecule degradation	Enterococcus faecalis (Streptococcus faecalis)	[191,195]
Polypeptide	Macromolecule degradation	Lactobacillus delbrueckii	[26]
Polypeptide	Macromolecule degradation	Prevotella ruminicola (Bacteroides ruminicola)	[61,147,211,351,352,353,369]
Polypeptide	Macromolecule degradation	Propionibacterium acnes	[136,191]
Polypeptide	Macromolecule degradation	Streptococcus bovis (Streptococcus equinus)	[47,88,270,351,352,353]
Polypeptide	Macromolecule degradation	Veillonella parvula	[187]
Propanal	Production (export)	Clostridium butyricum	[5]
Propanoate (Propionate)	Production (export)	Acidaminococcus fermentans	[143]
Propanoate (Propionate)	Production (export)	Alistipes putredinis	[252]
Propanoate (Propionate)	Production (export)	Anaerostipes caccae	[285]
Propanoate (Propionate)	Production (export)	Bacteroides caccae	[149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides cellulosilyticus	[149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides coprocola	[149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides coprophilus	[149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides dorei	[149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides eggerthii	[198,149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides finegoldii (Alistipes finegoldii)	[252,149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides fragilis	[195,198,288,149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides helcogenes	[149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides intestinalis	[149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides ovatus	[190,149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides pectinophilus	[149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides plebeius	[149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides salanitronis	[149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides stercoris	[149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides thetaiotaomicron	[92,118,195,199,256,281,149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides uniformis	[149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides vulgatus	[195,149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bacteroides xylanisolvens	[44,149,185,198,255,366]
Propanoate (Propionate)	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[295]
Propanoate (Propionate)	Consumption (import)	Butyrivibrio crossotus	[217]
Propanoate (Propionate)	Consumption (import)	Butyrivibrio fibrisolvens	[217]
Propanoate (Propionate)	Consumption (import)	Butyrivibrio proteoclasticus	[217]
Propanoate (Propionate)	Production (export)	Clostridium kluyveri	[294]
Propanoate (Propionate)	Production (export)	Clostridium perfringens	[306]
Propanoate (Propionate)	Production (export)	Clostridium sticklandii	[9,211]
Propanoate (Propionate)	Consumption (import)	Colonocyte (host colon)	[100,336]
Propanoate (Propionate)	Consumption (import)	Comamonas testosteroni	[101]
Propanoate (Propionate)	Production (export)	Coprococcus catus	[124,253]
Propanoate (Propionate)	Production (export)	Coprococcus comes	[124]
